Entry                     RecordName                Record Status    Section TimeTo Data   Data
                                                    Type                     Live   Length
-----                     ----------                ------ ------    ------- ------ ------ ----
safebrowsing.googleapi... safebrowsing.googleapi... A      Success   Answer      97      4 142.251.32.202
sync.richaudience.com     sync.richaudience.com     A      Success   Answer    2840      4 168.119.149.178
bid.g.doubleclick.net     bid.g.doubleclick.net     CNAME  Success   Answer     279      8 ads-bid.l.doubleclick.net
bid.g.doubleclick.net     ads-bid.l.doubleclick.net A      Success   Answer     279      4 142.250.115.157
bid.g.doubleclick.net     ads-bid.l.doubleclick.net A      Success   Answer     279      4 142.250.138.156
bid.g.doubleclick.net     ads-bid.l.doubleclick.net A      Success   Answer     279      4 142.250.114.154
bid.g.doubleclick.net     ads-bid.l.doubleclick.net A      Success   Answer     279      4 142.250.114.157
bid.g.doubleclick.net     ads-bid.l.doubleclick.net A      Success   Answer     279      4 142.250.138.157
bid.g.doubleclick.net     ads-bid.l.doubleclick.net A      Success   Answer     279      4 142.250.138.155
bid.g.doubleclick.net     ads-bid.l.doubleclick.net A      Success   Answer     279      4 142.250.114.156
bid.g.doubleclick.net     ads-bid.l.doubleclick.net A      Success   Answer     279      4 142.250.113.156
bid.g.doubleclick.net     ads-bid.l.doubleclick.net A      Success   Answer     279      4 142.250.113.157
bid.g.doubleclick.net     ads-bid.l.doubleclick.net A      Success   Answer     279      4 142.250.138.154
bid.g.doubleclick.net     ads-bid.l.doubleclick.net A      Success   Answer     279      4 142.250.113.154
bid.g.doubleclick.net     ads-bid.l.doubleclick.net A      Success   Answer     279      4 142.250.113.155
bid.g.doubleclick.net     ads-bid.l.doubleclick.net A      Success   Answer     279      4 142.250.115.154
bid.g.doubleclick.net     ads-bid.l.doubleclick.net A      Success   Answer     279      4 142.250.115.155
dis.criteo.com                                      AAAA   ServFail
dis.criteo.com            dis.criteo.com            CNAME  Success   Answer    1007      8 widget.da1.vip.prod.criteo.com
dis.criteo.com            widget.da1.vip.prod.cr... A      Success   Answer    1007      4 74.119.118.138
ib.adnxs.com              ib.adnxs.com              CNAME  Success   Answer     243      8 g.geogslb.com
ib.adnxs.com              g.geogslb.com             CNAME  Success   Answer     243      8 ib.anycast.adnxs.com
ib.adnxs.com              ib.anycast.adnxs.com      A      Success   Answer     243      4 104.254.148.198
ib.adnxs.com              ib.anycast.adnxs.com      A      Success   Answer     243      4 104.254.148.165
ib.adnxs.com              ib.anycast.adnxs.com      A      Success   Answer     243      4 104.254.148.133
ib.adnxs.com              ib.anycast.adnxs.com      A      Success   Answer     243      4 104.254.148.166
ib.adnxs.com              ib.anycast.adnxs.com      A      Success   Answer     243      4 104.254.149.100
ib.adnxs.com              ib.anycast.adnxs.com      A      Success   Answer     243      4 104.254.148.196
ib.adnxs.com              ib.anycast.adnxs.com      A      Success   Answer     243      4 104.254.149.101
fw.adsafeprotected.com    fw.adsafeprotected.com    CNAME  Success   Answer      31      8 vafw.adsafeprotected.com
fw.adsafeprotected.com    vafw.adsafeprotected.com  CNAME  Success   Answer      31      8 firewall-external-1524972847.us...
fw.adsafeprotected.com    firewall-external-1524... A      Success   Answer      31      4 54.86.74.187
fw.adsafeprotected.com    firewall-external-1524... A      Success   Answer      31      4 54.81.23.137
fw.adsafeprotected.com    firewall-external-1524... A      Success   Answer      31      4 35.170.219.239
fw.adsafeprotected.com    firewall-external-1524... A      Success   Answer      31      4 3.221.130.105
fw.adsafeprotected.com    firewall-external-1524... A      Success   Answer      31      4 52.54.223.98
fw.adsafeprotected.com    firewall-external-1524... A      Success   Answer      31      4 52.71.192.211
fw.adsafeprotected.com    firewall-external-1524... A      Success   Answer      31      4 107.23.12.228
fw.adsafeprotected.com    firewall-external-1524... A      Success   Answer      31      4 3.221.196.84
u.openx.net               u.openx.net               A      Success   Answer     355      4 34.98.64.218
u.openx.net               u.openx.net               A      Success   Answer     355      4 35.244.159.8
p.adsymptotic.com         p.adsymptotic.com         A      Success   Answer     238      4 104.18.100.194
p.adsymptotic.com         p.adsymptotic.com         A      Success   Answer     238      4 104.18.98.194
p.adsymptotic.com         p.adsymptotic.com         A      Success   Answer     238      4 104.18.101.194
p.adsymptotic.com         p.adsymptotic.com         A      Success   Answer     238      4 104.18.99.194
p.adsymptotic.com         p.adsymptotic.com         A      Success   Answer     238      4 104.18.102.194
secure.quantserve.com     secure.quantserve.com     CNAME  Success   Answer       2      8 2kpixel.quantserve.com
